IP,isBad
87.238.84.2,True
87.238.84.20,True
87.238.84.201,True
87.238.84.224,True
87.238.84.227,True
87.238.84.23,True
87.238.84.235,True
87.238.84.32,True
87.238.84.33,True
87.238.84.35,True
87.238.84.40,True
87.238.84.41,True
87.238.84.42,True
87.238.84.43,True
87.238.84.60,True
87.238.84.61,True
87.238.84.75,True
87.238.84.78,True
87.238.84.8,True
87.238.84.9,True
87.238.84.97,True
87.238.85.10,True
87.238.85.107,True
87.238.85.11,True
87.238.85.128,True
87.238.85.130,True
87.238.85.131,True
87.238.85.136,True
87.238.85.138,True
87.238.85.151,True
87.238.85.158,True
87.238.85.160,True
87.238.85.161,True
87.238.85.162,True
87.238.85.163,True
87.238.85.168,True
87.238.85.169,True
87.238.85.180,True
87.238.85.181,True
87.238.85.2,True
87.238.85.202,True
87.238.85.32,True
87.238.85.33,True
87.238.85.34,True
87.238.85.35,True
87.238.85.40,True
87.238.85.41,True
87.238.85.42,True
87.238.85.43,True
87.238.85.60,True
87.238.85.62,True
87.238.85.8,True
87.238.85.9,True
87.238.86.1,True
87.238.86.10,True
87.238.86.105,True
87.238.86.106,True
87.238.86.11,True
87.238.86.128,True
87.238.86.130,True
87.238.86.131,True
87.238.86.136,True
87.238.86.138,True
87.238.86.149,True
87.238.86.151,True
87.238.86.160,True
87.238.86.161,True
87.238.86.162,True
87.238.86.168,True
87.238.86.169,True
87.238.86.170,True
87.238.86.171,True
87.238.86.182,True
87.238.86.188,True
87.238.86.195,True
87.238.86.2,True
87.238.86.201,True
87.238.86.3,True
87.238.86.30,True
87.238.86.32,True
87.238.86.33,True
87.238.86.34,True
87.238.86.35,True
87.238.86.40,True
87.238.86.42,True
87.238.86.43,True
87.238.86.55,True
87.238.86.64,True
87.238.86.67,True
87.238.86.9,True
87.238.87.1,True
87.238.87.10,True
87.238.87.11,True
87.238.87.128,True
87.238.87.130,True
87.238.87.137,True
87.238.87.138,True
87.238.87.139,True
87.238.87.151,True
87.238.87.158,True
87.238.87.160,True
87.238.87.162,True
87.238.87.163,True
87.238.87.168,True
87.238.87.169,True
87.238.87.171,True
87.238.87.2,True
87.238.87.201,True
87.238.87.22,True
87.238.87.227,True
87.238.87.232,True
87.238.87.29,True
87.238.87.3,True
87.238.87.33,True
87.238.87.34,True
87.238.87.35,True
87.238.87.41,True
87.238.87.42,True
87.238.87.43,True
87.238.87.55,True
87.238.87.62,True
87.238.87.65,True
87.238.87.66,True
87.238.87.8,True
87.238.87.9,True
87.238.87.98,True
96.31.172.1,True
96.31.172.10,True
96.31.172.100,True
96.31.172.101,True
96.31.172.102,True
96.31.172.103,True
96.31.172.104,True
96.31.172.105,True
96.31.172.106,True
96.31.172.107,True
96.31.172.108,True
96.31.172.109,True
96.31.172.11,True
96.31.172.110,True
96.31.172.111,True
96.31.172.112,True
96.31.172.113,True
96.31.172.114,True
96.31.172.115,True
96.31.172.117,True
96.31.172.118,True
96.31.172.119,True
96.31.172.12,True
96.31.172.120,True
96.31.172.121,True
96.31.172.122,True
96.31.172.123,True
96.31.172.124,True
96.31.172.125,True
96.31.172.126,True
96.31.172.127,True
96.31.172.128,True
96.31.172.129,True
96.31.172.13,True
96.31.172.130,True
96.31.172.131,True
96.31.172.132,True
96.31.172.133,True
96.31.172.134,True
96.31.172.135,True
96.31.172.136,True
96.31.172.137,True
96.31.172.138,True
96.31.172.139,True
96.31.172.14,True
96.31.172.140,True
96.31.172.141,True
96.31.172.142,True
96.31.172.144,True
96.31.172.145,True
96.31.172.146,True
96.31.172.147,True
96.31.172.148,True
96.31.172.149,True
96.31.172.150,True
96.31.172.152,True
96.31.172.153,True
96.31.172.154,True
96.31.172.155,True
96.31.172.156,True
96.31.172.158,True
96.31.172.16,True
96.31.172.160,True
96.31.172.161,True
96.31.172.162,True
96.31.172.163,True
96.31.172.164,True
96.31.172.165,True
96.31.172.167,True
96.31.172.168,True
96.31.172.169,True
96.31.172.17,True
96.31.172.170,True
96.31.172.171,True
96.31.172.172,True
96.31.172.173,True
96.31.172.174,True
96.31.172.175,True
96.31.172.176,True
96.31.172.177,True
96.31.172.178,True
96.31.172.179,True
96.31.172.18,True
96.31.172.180,True
96.31.172.181,True
96.31.172.182,True
96.31.172.183,True
96.31.172.184,True
96.31.172.187,True
96.31.172.188,True
96.31.172.189,True
96.31.172.19,True
96.31.172.191,True
96.31.172.192,True
96.31.172.193,True
96.31.172.194,True
96.31.172.195,True
96.31.172.196,True
96.31.172.197,True
96.31.172.198,True
96.31.172.199,True
96.31.172.2,True
96.31.172.20,True
96.31.172.200,True
96.31.172.201,True
96.31.172.202,True
96.31.172.203,True
96.31.172.204,True
96.31.172.205,True
96.31.172.206,True
96.31.172.207,True
96.31.172.208,True
96.31.172.209,True
96.31.172.21,True
96.31.172.210,True
96.31.172.211,True
96.31.172.212,True
96.31.172.213,True
96.31.172.214,True
96.31.172.215,True
96.31.172.216,True
96.31.172.217,True
96.31.172.218,True
96.31.172.219,True
96.31.172.22,True
96.31.172.220,True
96.31.172.221,True
96.31.172.222,True
96.31.172.223,True
96.31.172.224,True
96.31.172.225,True
96.31.172.226,True
96.31.172.228,True
96.31.172.229,True
96.31.172.23,True
96.31.172.231,True
96.31.172.232,True
96.31.172.233,True
96.31.172.235,True
96.31.172.236,True
96.31.172.237,True
96.31.172.238,True
96.31.172.239,True
96.31.172.24,True
96.31.172.240,True
96.31.172.241,True
96.31.172.242,True
96.31.172.243,True
96.31.172.244,True
96.31.172.245,True
96.31.172.246,True
96.31.172.247,True
96.31.172.248,True
96.31.172.249,True
96.31.172.25,True
96.31.172.250,True
96.31.172.251,True
96.31.172.252,True
96.31.172.253,True
96.31.172.254,True
96.31.172.255,True
96.31.172.26,True
96.31.172.27,True
96.31.172.28,True
96.31.172.3,True
96.31.172.30,True
96.31.172.31,True
96.31.172.33,True
96.31.172.34,True
96.31.172.35,True
96.31.172.36,True
96.31.172.37,True
96.31.172.38,True
96.31.172.39,True
96.31.172.4,True
96.31.172.40,True
96.31.172.41,True
96.31.172.42,True
96.31.172.43,True
96.31.172.44,True
96.31.172.45,True
96.31.172.47,True
96.31.172.48,True
96.31.172.49,True
96.31.172.5,True
96.31.172.50,True
96.31.172.51,True
96.31.172.52,True
96.31.172.53,True
96.31.172.54,True
96.31.172.55,True
96.31.172.56,True
96.31.172.57,True
96.31.172.58,True
96.31.172.59,True
96.31.172.6,True
96.31.172.60,True
96.31.172.61,True
96.31.172.62,True
96.31.172.63,True
96.31.172.64,True
96.31.172.65,True
96.31.172.66,True
96.31.172.67,True
96.31.172.68,True
96.31.172.69,True
96.31.172.7,True
96.31.172.70,True
96.31.172.71,True
96.31.172.72,True
96.31.172.73,True
96.31.172.74,True
96.31.172.75,True
96.31.172.76,True
96.31.172.77,True
96.31.172.78,True
96.31.172.79,True
96.31.172.8,True
96.31.172.80,True
96.31.172.82,True
96.31.172.83,True
96.31.172.84,True
96.31.172.85,True
96.31.172.86,True
96.31.172.87,True
96.31.172.88,True
96.31.172.89,True
96.31.172.9,True
96.31.172.90,True
96.31.172.91,True
96.31.172.92,True
96.31.172.93,True
96.31.172.94,True
96.31.172.95,True
96.31.172.96,True
96.31.172.97,True
96.31.172.98,True
96.31.172.99,True
99.79.212.20,True
99.79.245.20,True
107.161.23.204,True
107.191.99.119,True
131.228.12.1,True
131.228.12.106,True
131.228.12.11,True
131.228.12.123,True
131.228.12.13,True
131.228.12.134,True
131.228.12.139,True
131.228.12.149,True
131.228.12.151,True
131.228.12.164,True
131.228.12.169,True
131.228.12.17,True
131.228.12.170,True
131.228.12.172,True
131.228.12.174,True
131.228.12.177,True
131.228.12.182,True
131.228.12.187,True
131.228.12.188,True
131.228.12.194,True
131.228.12.195,True
131.228.12.196,True
131.228.12.198,True
131.228.12.214,True
131.228.12.215,True
131.228.12.218,True
131.228.12.22,True
131.228.12.23,True
131.228.12.235,True
131.228.12.238,True
131.228.12.242,True
131.228.12.249,True
131.228.12.251,True
131.228.12.31,True
131.228.12.34,True
131.228.12.37,True
131.228.12.4,True
131.228.12.41,True
131.228.12.42,True
131.228.12.45,True
131.228.12.46,True
131.228.12.49,True
131.228.12.52,True
131.228.12.6,True
131.228.12.62,True
131.228.12.66,True
131.228.12.67,True
